name,rating,price_level,user_ratings_total,latitude,longitude
The Gyro Company,4.8,1.0,1022.0,38.5651452,-90.2925364
9 Mile Garden,4.6,2.0,983.0,38.5538689,-90.3200401
Stacked STL,4.7,2.0,3298.0,38.549208,-90.2623027
Chick-fil-A,4.6,1.0,1908.0,38.5522517,-90.4076906
Twisted Tree Steakhouse,4.6,3.0,2312.0,38.5562183,-90.4080638
P'Sghetti's Pasta & Sandwiches,4.6,1.0,1149.0,38.5242305,-90.3552732
Chick-fil-A,4.6,1.0,1561.0,38.5048318,-90.3283272
Tres Caminos Mexican Restaurant,4.6,2.0,1791.0,38.6446573,-90.0173975
Bert's Chuck Wagon,4.7,1.0,1062.0,38.6702778,-89.9861111
Fazzi's Restaurant & Bar,4.6,2.0,1164.0,38.69200319999999,-89.9719111
Fire-N-Smoke Wood Fired Kitchen,4.6,2.0,1922.0,38.7338707,-89.9164706
Doc's Smokehouse & Catering,4.6,2.0,1149.0,38.7916266,-89.9781537
Peel Wood Fired Pizza,4.6,2.0,1612.0,38.8026326,-89.97166
Kyoto Sushi Steakhouse,4.6,2.0,1048.0,38.8000996,-89.97674579999999
Hawaiian Bros Island Grill,4.9,2.0,2103.0,38.7838767,-89.9504623
Chick-fil-A,4.6,1.0,4312.0,38.58994029999999,-89.98540009999999
Dewey's Pizza,4.6,2.0,1390.0,38.57914299999999,-89.932006
Hawaiian Bros Island Grill,4.9,2.0,1970.0,38.59285089999999,-89.9561794
Peel Wood Fired Pizza,4.6,2.0,2551.0,38.59145079999999,-89.9122696
Papa Vito's Pizza Downtown,4.6,2.0,1219.0,38.5123821,-89.9793239
Casa Maria Mexican Grill,4.6,1.0,1162.0,38.51467510000001,-89.98274889999999
Chick-fil-A,4.6,1.0,2131.0,38.5200212,-89.9245112
BEAST Craft BBQ Co.,4.7,2.0,2472.0,38.5020528,-89.9852306
Annie Gunn's Restaurant,4.7,4.0,2180.0,38.6680001,-90.5800416
YaYas Euro Bistro - Chesterfield,4.6,3.0,1588.0,38.65617699999999,-90.5560898
Spiro's Restaurant,4.7,3.0,1094.0,38.6781644,-90.4992242
The Wolf Cafe,4.6,2.0,987.0,38.6081434,-90.5678132
The Original Pancake House,4.6,2.0,1476.0,38.66793799999999,-90.588712
Chick-fil-A,4.6,1.0,2502.0,38.7416439,-90.6336115
El Mezon - Mexican Restaurant,4.6,1.0,2170.0,38.80010499999999,-90.652175
Fratelli's Ristorante,4.7,2.0,1403.0,38.7836904,-90.5353502
Gingham's Homestyle Restaurant,4.6,1.0,6447.0,38.7707988,-90.5204957
Jafra Mediterranean Restaurant,4.9,2.0,1082.0,38.78897430000001,-90.5495574
Picasso's Coffee,4.7,2.0,1210.0,38.781353,-90.4814961
Dewey's Pizza,4.6,2.0,1524.0,38.7659364,-90.4946593
MOD Pizza,4.6,1.0,953.0,38.78365979999999,-90.5025192
Lady Di's Diner,4.7,1.0,932.0,38.789244,-90.488495
Big Chief Roadhouse,4.6,2.0,905.0,38.58102720000001,-90.6604678
Dalie's Smokehouse,4.7,2.0,1042.0,38.5694247,-90.4766408
Hawaiian Bros Island Grill,4.8,2.0,1428.0,38.8067445,-90.2979816
Sugarfire Smoke House,4.6,2.0,2203.0,38.818549,-90.5131584
Hobos At The Legion,4.7,1.0,2914.0,38.80151169999999,-90.6255612
Roma's Pizza,4.7,2.0,1587.0,38.9005769,-90.03902479999999
Sushi Ai,4.7,2.0,1036.0,38.4173376,-90.3912448
Trattoria Giuseppe,4.7,2.0,1185.0,38.3794444,-90.4955556
Ginny's Kitchen & Custards,4.7,1.0,1141.0,38.34276699999999,-90.3886172
Cleveland-Heath,4.6,2.0,1021.0,38.8115891,-89.9557877
Dairy King,4.6,1.0,1207.0,38.605239,-89.686652
Popeye's Chop House,4.8,3.0,1229.0,38.68334370000001,-89.5544063
Dairy King,4.6,,1069.0,38.6110139,-89.5262918
Wally's Drive-In,4.7,1.0,981.0,38.6108627,-89.5257117
Dewey's Pizza,4.7,2.0,995.0,38.81122199999999,-89.954858
Good Ol' Days,4.6,1.0,1099.0,38.5348347,-89.7000693
The Hawthorne Inn,4.7,2.0,1731.0,38.5290604,-90.8483047
Bristol Seafood Grill,4.6,3.0,1228.0,38.7520995,-90.7532516
Sugarfire Smoke House,4.6,2.0,1967.0,38.76491999999999,-90.745478
Chick-fil-A,4.6,1.0,1752.0,38.77907169999999,-90.6992768
Shack Breakfast & Lunch,4.6,2.0,1623.0,38.7606606,-90.7037243
Pantera's Pizza,4.6,1.0,1172.0,38.8006974,-90.7026358
El Tio Pepe Mexican Restaurant,4.6,1.0,1598.0,38.8034234,-90.7039504
The Tilted Skillet,4.6,2.0,1140.0,38.557348,-91.0171579
Rothschild's Family Restaurant,4.6,1.0,1273.0,38.5510017,-90.9998631
MOD Pizza,4.6,1.0,1026.0,38.8139268,-90.8737359
West Allen Grill,4.6,2.0,1058.0,38.8114605,-90.8533381
Chick-fil-A,4.6,1.0,2553.0,38.8159757,-90.8759384
Dukes BBQ Shack,4.6,2.0,1244.0,38.812587,-90.8491076
Round Table Family Restaurant,4.6,1.0,914.0,38.944815,-90.1905134
Nick's Pancake House,4.7,1.0,1088.0,39.1118451,-90.3205471
Las Brisas Authentic Mexican Restaurant,4.7,1.0,1030.0,38.28832319999999,-90.4003151
Gordon's Stop Light Drive In,4.7,1.0,1330.0,38.2188889,-90.3855244
